crime_type,location,time,crime_category
Signal Light Malfunction,La Jolla Village Drive/Villa La Jolla Drive (Off-campus),3:51 PM,Traffic
Fire Alarm,Azad,5:11 PM,Disturbance
Campus Security Authority Report (CSA),UC San Diego,Unknown,Non-Emergent Call or Report
Ticket Sign Off,UCSD Police Department,5:42 PM,Traffic
Petty Theft - Micro Mobility Device,Center Hall,3:00 PM - 5:00 PM,Theft and Damage
Incomplete/Accidental Landline 911 Call,Theatre District Parking Structure,7:53 PM,Non-Emergent Call or Report
Tamper with Fire Alarm,Visual Arts Facility - Building 2,8:37 PM - 9:02 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Scholars Parking,8:52 PM,Non-Emergent Call or Report
Injury,Rimac Field,9:45 PM,Welfare
Welfare Check,La Jolla Village Drive,9:52 PM,Welfare
Found Property,Rita Atkinson Residences,10:22 PM,Theft and Damage
Burglary Alarm,Student Services Center,11:24 PM,Theft and Damage
UC Policy Violation,Brennan Hall,11:57 PM,Other
Petty Theft - Bicycle,Rita Atkinson Residences,2:00 AM - 7:00 PM,Theft and Damage
Suspicious Person,Health Science/Revelle Footbridge,12:12 AM,Disturbance
Assist Other Agency,Capa,1:05 AM,Other
Report of Petty Theft - Micro Mobility Device,Geisel Library,8:30 PM - 10:00 PM,Theft and Damage
Suspicious Person,Arena,12:36 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,Viento,1:44 AM,Non-Emergent Call or Report
Fire Alarm,Pulse,2:09 AM,Disturbance
Suspicious Person,Price Center Plaza,2:11 AM,Disturbance
Suspicious Person,Mesa Canyon Parking Structure,5:50 AM,Disturbance
Report of Petty Theft - Micro Mobility Device,Tioga Hall,4:00 PM - 8:50 AM,Theft and Damage
Shoplifting / Stay Away Order Issuance,Bookstore,8:53 AM - 9:50 AM,Theft and Damage
Citizen Contact,UCSD Police Department,10:41 AM,Other
Incomplete/Accidental Wireless 911 Call,Mosaic,3:02 PM,Non-Emergent Call or Report
Report of Petty Theft - Micro Mobility Device,Solis Hall,10:45 AM - 2:45 PM,Theft and Damage
Hit and Run Collision - No Injuries,Pangea Parking Structure,6:00 PM - 10:30 AM,Traffic
Non-Injury Collision,Fleet Services,4:13 PM,Traffic
Campus Security Authority Report (CSA),UC San Diego Residential Building,Unknown,Non-Emergent Call or Report
Injury,Kaleidoscope,5:06 PM,Welfare
Unknown Injury Collision,La Jolla Village Drive/Interstate 5 Southbound,5:19 PM,Traffic
Incomplete/Accidental Wireless 911 Call,Visual Arts Facility - Building 3,6:53 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,La Estancia Hotel,8:48 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,8:49 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Black Gold Road,8:51 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Black Gold Road,8:53 PM,Non-Emergent Call or Report
Medical Aid,Atlantis Hall,9:33 PM,Welfare
Noise Disturbance,Europe Hall,9:42 PM,Disturbance
Vehicle Impound,3100 Salk Institute Road,10:04 PM,Traffic
Welfare Check,Kaleidoscope,10:50 PM,Welfare
Suspicious Person,Podemos,10:53 PM,Disturbance
Unknown Trouble,La Jolla Village Drive/Genesee Avenue,11:08 PM,Other
Traffic Hazard,Gilman Drive/Pepper Canyon Drive,11:08 PM,Traffic
Medical Aid,UC San Diego Health Urgent Care,11:39 PM,Welfare
Report of Petty Theft - Micro Mobility Device,Charles Keeling Apartments Building 1,11:35 AM - 12:00 AM,Theft and Damage
Petty Theft,Structural & Material Engineering Building,12:00 PM - 12:00 AM,Theft and Damage
Petty Theft - Micro Mobility Device,Geisel Library,11:10 PM - 11:20 PM,Theft and Damage
Non Student Refusing To Leave Campus / Stay Away Order Issuance,Parking Lot 101,1:18 AM,Disturbance
Hit & Run Collision: Non-Injury,Hopkins Parking On Hopkins Drive,1:54 AM,Traffic
Welfare Check,Seventh College West #6,2:31 AM,Welfare
Suspicious Person,Brisa,2:32 AM,Disturbance
Noise Disturbance,Parking Lot 610,8:46 AM,Disturbance
Illegal Parking,Black's Beach On Blacks Beach Way,10:15 AM,Traffic
Incomplete/ Accidental Wireless 911 Call,Russell Walk/ Lyman Walk,11:23 AM,Non-Emergent Call or Report
Medical Aid,Moores Cancer Center,11:27 AM,Welfare
Campus Security Authority Report (CSA),Birch Aquarium,1:54 AM,Non-Emergent Call or Report
Grand Theft,Seventh College West #6,12:40 AM - 9:40 AM,Theft and Damage
Trespass: Occupy Property Without Consent/ Camping on UC Campus/ Stay Away Order Issuance,"Visual Arts Facility, Building 2",1:18 PM,Theft and Damage
Incomplete/ Accidental Wireless 911 Call,Porton On Miramar Street,1:24 PM,Non-Emergent Call or Report
Information Only,Unknown Off Campus Location,2:07 PM,Non-Emergent Call or Report
Information Only,Price Center On Lyman Walk/ Library Walk,2:33 PM,Non-Emergent Call or Report
Lost Property,Unknown,Unknown,Theft and Damage
Hit & Run Collision: Non Injury,Athena Parking,4:00 PM,Traffic
Medical Aid,"Modesto, California",6:43 PM,Welfare
Security Alarm,Communication Building,7:02 PM,Disturbance
Voluntary Psych Referral,Computer Sciences & Engineering Building,7:04 PM,Welfare
Suspicious Circumstances,Brennan Apartments,6:46 PM - 6:55 PM,Disturbance
Fire Alarm,Tapestry,9:05 PM,Disturbance
Fire Alarm,Kaleidoscope,10:28 PM,Disturbance
Noise Disturbance,Douglas Apartments,10:50 PM,Disturbance
Noise Disturbance,Piedra,10:53 PM,Disturbance
Noise Disturbance,Harlan Hall,11:05 PM,Disturbance
UC Policy Violation,Brisa,11:34 PM,Other
Injury,Seventh College West #1,11:55 PM,Welfare
Noise Disturbance,Seventh College - West,12:38 AM,Disturbance
Suspicious Circumstances,York Hall,1:29 AM,Disturbance
Noise Disturbance,Seventh College - West,1:51 AM,Disturbance
Alcohol Contact,Scholars Drive,2:17 AM,Drugs
Stay Away Order Issuance,Mesa Footbridge,3:49 AM - 4:33 AM,Disturbance
Medical Aid,Pepper Canyon Apartments,7:55 AM,Welfare
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,8:03 AM,Non-Emergent Call or Report
Citizen Contact,UCSD Police Department,8:25 AM,Other
Information,Rita Atkinson Residences,9:47 AM,Non-Emergent Call or Report
Drug Law Violation Arrest/ Stay Away Order Issuance,Parking Lot P701,10:06 AM - 12:20 PM,Disturbance
Welfare Check,Catalyst,10:11 AM,Welfare
Citizen Contact,Student Services Center,10:21 AM,Other
Medical Aid,Campus Point Court,11:53 AM,Welfare
Citizen Contact,UCSD Police Department,11:58 AM,Other
Property Damage,78 Freeway Connector,1:00 PM,Theft and Damage
Medical Aid,Dickinson,2:21 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Voigt Drive,4:18 PM,Non-Emergent Call or Report
Suspicious Person,Peterson Hall,4:23 PM,Disturbance
Hit and Run Collision: Non-Injury,Parking Lot P510,7:30 AM - 4:00 PM,Traffic
Incomplete/Accidental Landline 911 Call,Design and Innovation Building,4:28 PM,Non-Emergent Call or Report
Non-Student: Refuse to Leave University/ Stay Away Order Issuance,Mandell Weiss Theatre,4:34 PM - 5:36 PM,Disturbance
Fire Alarm,Trolley - Central Campus Station,4:33 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Oceanview Terrace,4:51 PM,Non-Emergent Call or Report
Illegal Camping,Par Course,5:15 PM,Disturbance
Citizen Contact,Trolley - Central Campus Station,5:52 PM,Other
Incomplete/Accidental Landline 911 Call,Tapestry,6:03 PM,Non-Emergent Call or Report
Medical Aid,Moore's Cancer Center,6:43 PM,Welfare
Possession of Marijuana,Information Center - North Point Entrance,6:59 PM,Drugs
Incomplete/Accident Landline 911 Call,UC San Diego,8:51 PM,Other
Noise Disturbance,Seventh College - West,9:57 PM,Disturbance
Petty Theft - Micro Mobility Device,Geisel Library,2:00PM-10:00PM,Theft and Damage
Noise Disturbance,"One Miramar Street, Building 1",10:20 PM,Disturbance
Theft,UCSD Medical Center - Hillcrest,2:35 PM,Theft and Damage
Noise Disturbance,Tdlln - Pulse,12:08 AM,Disturbance
Possession of Marijuana,Brennan,12:28 AM,Drugs
Noise Disturbance,Rya,12:40 AM,Disturbance
Noise Disturbance,Tioga Hall,12:52 AM,Disturbance
Disturbance,Cala,1:00 AM,Disturbance
Noise Disturbance,Seventh College,1:06 AM,Disturbance
Noise Disturbance,Douglas Apartments,1:50 AM,Disturbance
Welfare Check,Earth Hall - South,1:57 AM,Welfare
Noise Disturbance,Rya,2:03 AM,Disturbance
Information Only Report,Cala,9:10 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Sheila and Hughes Potiker,12:49 PM,Non-Emergent Call or Report
Citizen Contact,Sally T Wongavery Library,12:54 PM,Other
Incomplete/Accidental Wireless 911 Call,Birch Aquarium,2:30 PM,Non-Emergent Call or Report
Missing Vehicle,Parking Lot P671,6:12 PM,Theft and Damage
Injury,Main Gymnasium,6:54 PM,Welfare
Information,Vela,7:18 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Mosaic,7:30 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Miramar Street,9:48 PM,Non-Emergent Call or Report
Citizen Contact,Franklin Antonio Hall,10:32 PM,Other
Trespass,University Credit Union,11:18 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Nobel Drive,11:28 PM,Non-Emergent Call or Report
Vandalism,Campus Point Parking,1:30 AM,Theft and Damage
UC Policy Violation,Kathmandu House,12:19 AM,Other
Noise Disturbance,Seventh College East #1,1:06 AM,Disturbance
Vandalism,Thornton Hospital,12:00 AM - 1:00 AM,Theft and Damage
Fire Alarm,Charles David Keeling Apartments 2,2:49 AM,Disturbance
Property Damage,Mosaic,3:41 AM - 4:27 AM,Theft and Damage
Suspicious Person,Podemos,3:44 AM,Disturbance
Fire Alarm,Scholars Parking,5:03 AM,Disturbance
Welfare Check,Price Center West,6:52 AM,Welfare
Burglary Alarm,Triton Center,8:32 AM,Theft and Damage
Signal Light Malfunction,Villa La Jolla Drive (Off-Campus)/La Jolla Village,3:25 PM,Traffic
Indecent Exposure,Torrey Pines Scenic Drive,5:51 PM,Other
Incomplete/Accidental Landline 911,Tapestry,8:26 PM,Non-Emergent Call or Report
Medical Aid,Peterson Hall,9:14 PM,Welfare
Incomplete/Accidental Wireless 911,Muir Lane,9:40 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911,Muir Lane,9:55 PM,Non-Emergent Call or Report
Noise Disturbance,Tapestry,10:08 PM,Disturbance
Information,Argo Hall,10:44 PM,Non-Emergent Call or Report
Petty Theft - Micro Mobility Device,Structural Materials Engineering Bldg.,2:00 PM - 9:00 PM,Theft and Damage
Non-Injury Accident,South Parking Structure,10:55 PM - 11:36 PM,Welfare
Illegal Parking,Exchange,11:19 PM,Traffic
Information,Rya,11:28 PM,Non-Emergent Call or Report
Medical Aid,Trolley - La Jolla Health Station,12:50 AM,Welfare
Domestic Violence Assault,UCSD Campus - Residential,Unknown,Violent
Stay Away Order Issuance,Price Center West - Target,8:50 AM,Disturbance
Welfare Check,Biology Building,9:38 AM,Welfare
Shoplifting,Price Center West - Target,11:50 AM - 12:00 PM,Theft and Damage
Welfare Check,Parking Lot P003,9:55 AM,Welfare
Suspicious Circumstances,Artesa,2:22 PM - 6:00 AM,Disturbance
Hit & Run Collision: Non Injury,Mesa Canyon Parking Structure,10:16 PM - 7:15 PM,Traffic
Incomplete/Accidental Wireless 911 Call,Student Services Center,11:56 AM,Non-Emergent Call or Report
Illegal Camping,"School of Medicine, Building 4",12:01 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Brisa,12:23 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,1:17 PM,Non-Emergent Call or Report
Hazard Situation,La Jolla Village Drive/ Villa La Jolla Drive (Off-Campus),2:09 PM,Other
Information Only Report,Koman Family Outpatient Pavilion,Unknown,Non-Emergent Call or Report
Gas/Water/Sewer Leak,Student Service Center,2:23 PM,Other
Hazard Situation,La Jolla Village Drive/ Interstate 5 Southbound,2:35 PM,Other
Disturbance,Rya,2:42 PM,Disturbance
Vandalism,Campus Point Parking West,6:30 AM - 2:49 PM,Theft and Damage
Disorderly Conduct: Alcohol/ Stay Away Order Issuance,Gilman Drive/ Medical Center Drive,5:06 PM - 8:20 PM,Disturbance
Welfare Check,Price Center East,5:08 PM,Welfare
Incomplete/Accidental Landline 911 Call,Mosaic,5:13 PM,Non-Emergent Call or Report
Disturbance,La Jolla Institute for Immunology,5:16 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Design & Innovation Building,5:49 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Design & Innovation Building,5:49 PM,Non-Emergent Call or Report
Disturbance,Price Center West - Dirty Birds,7:58 PM,Disturbance
Noise Disturbance,Marea,8:19 PM,Disturbance
Medical Aid,Brown Hall,8:30 PM,Welfare
UC Policy Violation,Early Childhood Education Center A,9:16 PM,Other
Vandalism,Frankfurter Hall,Unknown,Theft and Damage
Domestic Violence Assault/ Violation of Domestic Violence Restraining Order/ Vandalism,UCSD Campus - Residential,10:39 PM - 12:39 AM,Theft and Damage
Noise Disturbance,Rya,11:22 PM,Disturbance
Noise Disturbance,Argo Hall,1:19 AM,Disturbance
Suspicious Person,Mayer Hall,4:41 AM,Disturbance
Welfare Check,Bobier Drive,5:59 AM,Welfare
Security Alarm,Sunshine Market,6:11 AM,Disturbance
Medical Aid,Radiation Oncology Pet Center,7:11 AM,Welfare
Incomplete/Accidental Wireless 911 Call,Pepper Canyon Housing North,7:22 AM,Non-Emergent Call or Report
Vandalism,Franklin Antonio Hall,1:39AM-1:41,Theft and Damage
Information,Campus Point Parking,9:45 AM,Non-Emergent Call or Report
Counter Collision Report,Campus Emergency Services Building,1:45 PM,Traffic
Mental Health Detention,Shiley Eye Institute,11:15 AM,Welfare
Security Alarm,Warren Lecture Hall,12:35 PM,Disturbance
